Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28 14:48:00+00:00,276.4599914550781,231.9600067138672,322.05999755859375,641.1699829101562,106.44000244140625,276.5050048828125,231.9600067138672,322.8999938964844,641.3099975585938,106.4800033569336,276.3599853515625,231.82009887695312,321.9700927734375,640.7000122070312,106.31999969482422,276.42999267578125,231.83999633789062,322.8900146484375,640.9030151367188,106.36499786376953,30374,62317,69363,64226,0
2025-11-28 14:49:00+00:00,276.8599853515625,232.03050231933594,321.6000061035156,641.0786743164062,106.44499969482422,276.8599853515625,232.05999755859375,322.07501220703125,641.4099731445312,106.51000213623047,276.489990234375,231.8511962890625,321.5299987792969,640.9000244140625,106.37000274658203,276.5,231.94500732421875,322.0,641.2396240234375,106.44000244140625,64990,61368,85425,32815,36276
2025-11-28 14:50:00+00:00,276.8500061035156,232.13999938964844,321.260009765625,641.4000244140625,106.3550033569336,276.9599914550781,232.2100067138672,321.739990234375,641.7399291992188,106.44999694824219,276.79998779296875,232.00999450683594,321.0899963378906,640.5,106.25,276.8399963378906,232.03500366210938,321.6199951171875,641.0866088867188,106.44499969482422,59333,88353,72341,51550,66686
2025-11-28 14:51:00+00:00,277.0036926269531,231.71009826660156,321.127685546875,641.1699829101562,106.63999938964844,277.0799865722656,232.18960571289062,321.3900146484375,641.6799926757812,106.6449966430664,276.8699951171875,231.6649932861328,320.79998779296875,641.0499877929688,106.34010314941406,276.8699951171875,232.13450622558594,321.2727966308594,641.5040283203125,106.3550033569336,49247,76272,70469,26223,41316
2025-11-28 14:52:00+00:00,276.3800048828125,231.6699981689453,320.55999755859375,640.2949829101562,106.58499908447266,277.0249938964844,231.77999877929688,321.1700134277344,641.3099975585938,106.69940185546875,276.29998779296875,231.4499969482422,320.3999938964844,639.5999755859375,106.54499816894531,276.989990234375,231.73890686035156,321.114990234375,641.1304931640625,106.63999938964844,87238,75412,123698,39882,36930
2025-11-28 14:53:00+00:00,276.51129150390625,232.0189971923828,320.04998779296875,641.0499877929688,106.81999969482422,276.5690002441406,232.02000427246094,320.82000732421875,641.1898803710938,106.81999969482422,276.406005859375,231.6999969482422,320.010009765625,640.3450927734375,106.55999755859375,276.4100036621094,231.6999969482422,320.55999755859375,640.4000244140625,106.58499908447266,53618,67349,122135,29762,37721
2025-11-28 14:54:00+00:00,276.3900146484375,231.84449768066406,320.70001220703125,640.85498046875,106.66000366210938,276.510009765625,232.0399932861328,320.7560119628906,641.1799926757812,106.83000183105469,276.2850036621094,231.8000030517578,319.7799987792969,640.5449829101562,106.63999938964844,276.510009765625,232.01499938964844,320.1000061035156,641.0399780273438,106.83000183105469,49000,56962,131519,17964,40203
2025-11-28 14:55:00+00:00,276.3479919433594,231.7740020751953,319.82000732421875,640.9974975585938,106.53500366210938,276.5260009765625,231.89999389648438,320.9584045410156,641.2100219726562,106.67990112304688,276.30999755859375,231.6999969482422,319.70001220703125,640.5399780273438,106.48040008544922,276.3699951171875,231.87660217285156,320.7300109863281,640.8900146484375,106.66000366210938,37765,37991,105698,27377,740052
2025-11-28 14:56:00+00:00,276.1700134277344,231.87049865722656,320.3100891113281,642.1798706054688,106.67500305175781,276.3900146484375,231.99000549316406,320.5299987792969,642.260009765625,106.70999908447266,276.1700134277344,231.77999877929688,319.6499938964844,640.9500122070312,106.5,276.3559875488281,231.7899932861328,319.8399963378906,641.02001953125,106.52999877929688,52911,41049,83859,67395,0
2025-11-28 14:57:00+00:00,276.2077941894531,231.96449279785156,320.29998779296875,642.7999267578125,106.48500061035156,276.2300109863281,231.97999572753906,320.447998046875,642.8983154296875,106.68499755859375,276.0199890136719,231.71249389648438,319.92999267578125,641.8599853515625,106.44000244140625,276.20001220703125,231.8699951171875,320.30999755859375,641.9500122070312,106.66999816894531,59810,47643,46653,65375,35644
2025-11-28 14:58:00+00:00,276.760009765625,231.60040283203125,319.32000732421875,642.8294067382812,106.4800033569336,276.760009765625,231.97999572753906,320.3900146484375,643.1099853515625,106.52999877929688,276.2099914550781,231.58160400390625,319.16229248046875,642.6259155273438,106.41999816894531,276.2200012207031,231.97999572753906,320.3399963378906,642.72998046875,106.48500061035156,67030,53633,71213,52521,42671
2025-11-28 14:59:00+00:00,276.2701110839844,231.47999572753906,318.6700134277344,642.3900146484375,106.5,276.79998779296875,231.64999389648438,319.3900146484375,642.97998046875,106.51000213623047,276.2701110839844,231.44500732421875,318.6400146484375,642.1002197265625,106.37999725341797,276.7850036621094,231.625,319.32000732421875,642.8286743164062,106.47000122070312,60448,53079,96032,39479,42384
2025-11-28 15:00:00+00:00,276.42999267578125,231.61000061035156,318.8500061035156,642.0399780273438,106.78500366210938,276.4800109863281,231.61000061035156,318.85101318359375,642.4199829101562,106.79000091552734,276.2200012207031,231.41000366210938,318.0,641.75,106.4800033569336,276.32000732421875,231.52999877929688,318.67999267578125,642.3699951171875,106.5,43546,52974,149367,28094,32611
2025-11-28 15:01:00+00:00,276.6700134277344,231.6699981689453,318.7099914550781,641.9901123046875,106.80650329589844,276.75,231.6999969482422,319.2909851074219,642.6199951171875,106.8499984741211,276.44000244140625,231.57000732421875,318.6700134277344,641.8001098632812,106.7699966430664,276.44000244140625,231.57000732421875,318.885009765625,641.969970703125,106.77999877929688,35137,49059,113707,35377,38721
2025-11-28 15:02:00+00:00,276.760009765625,231.52999877929688,318.760009765625,641.6799926757812,106.78970336914062,276.8500061035156,231.72000122070312,319.2699890136719,642.3098754882812,106.88500213623047,276.69000244140625,231.49000549316406,318.4200134277344,641.610107421875,106.7655029296875,276.69000244140625,231.66000366210938,318.69500732421875,642.0499877929688,106.80999755859375,53716,54151,86634,30297,26717
2025-11-28 15:03:00+00:00,276.864990234375,231.48089599609375,318.3299865722656,641.9099731445312,106.79000091552734,276.8999938964844,231.63319396972656,319.0299987792969,642.1400146484375,106.87000274658203,276.7200012207031,231.4600067138672,318.2900085449219,641.510009765625,106.76000213623047,276.7200012207031,231.52999877929688,318.7550048828125,641.6799926757812,106.78500366210938,49767,60162,89978,22896,28936
2025-11-28 15:04:00+00:00,276.5400085449219,231.27499389648438,318.2799987792969,640.6849975585938,106.7249984741211,276.8900146484375,231.5,318.3660888671875,641.9749755859375,106.80500030517578,276.5400085449219,231.27499389648438,317.71600341796875,640.6849975585938,106.70010375976562,276.875,231.5,318.32000732421875,641.9749755859375,106.77999877929688,45265,47009,114112,34298,26184
2025-11-28 15:05:00+00:00,276.6435852050781,231.17999267578125,317.80999755859375,640.60498046875,106.80999755859375,276.6435852050781,231.39999389648438,318.3999938964844,641.030029296875,106.81500244140625,276.4800109863281,231.17999267578125,317.79998779296875,640.5449829101562,106.66999816894531,276.5799865722656,231.25999450683594,318.2900085449219,640.7550048828125,106.7249984741211,30869,65075,79921,24957,42080
2025-11-28 15:06:00+00:00,276.5459899902344,231.25999450683594,318.6499938964844,640.3099975585938,106.86599731445312,276.7099914550781,231.3311004638672,318.7799987792969,640.6500244140625,106.91999816894531,276.5199890136719,231.13999938964844,317.40008544921875,640.0599975585938,106.7300033569336,276.6400146484375,231.1811065673828,317.7900085449219,640.6099853515625,106.81500244140625,47265,54872,111051,27282,25723
